token,title,parent
illegal_waste_disposal_big,Dépôts clandestins de plus d'1m³,cleanliness
illegal_waste_disposal_small,Dépôts clandestins de moins d'1m³,cleanliness
waste_containers,Poubelles et corbeilles,cleanliness
bottle_banks_colorless,Bulles à verre blanc,cleanliness
bottle_banks_colored,Bulles à verre de couleur,cleanliness
textiles_banks,Conteneurs de textiles,cleanliness
cleanliness_other,Autre,cleanliness
road,Routes,public_street
trashes,Poubelles,public_street
manholes_drains,Égouts et avaloirs,public_street
lane_markings,Marquages au sol,public_street
signs,Signalisations,public_street
sidewalks,Trottoirs,public_street
public_street_other,Autre,public_street
graffitis,Graffitis et tags,graffitis_tags_posters
wild_signage,Affichage sauvage,graffitis_tags_posters
graffitis_tags_posters_other,Autre,graffitis_tags_posters
annoying_vegetation,Végétation envahissante,green_space
trees,Arbres ,green_space
watercourse,Cours d'eau,green_space
green_space_other,Autre,green_space
bus_shelters,"Aubettes, abris bus",street_furniture
public_bins,Poubelles ou corbeille,street_furniture
children_playground_furn,Jeux pour enfants et équipements de sports,street_furniture
leisure_furn,"Mobiliers de repos, bancs, sièges et tables",street_furniture
ad_boards,Matériels publicitaires et d'information,street_furniture
bollards_barriers_cycle_racks,"Bornes, barrières, poteaux et range-vélos
",street_furniture
flower_boxs_grids_tree_stakes,"Bacs à fleurs, grilles et tuteurs d'arbre",street_furniture
sanitaries_fountains,"Sanitaires, fontaines et points d'eau",street_furniture
street_furniture_other,"Autre
",street_furniture
highway_lighting,Éclairages routiers,public_lighting
public_lamp,Éclairage de ville,public_lighting
